2021-09-18 22:45:40,303 - eat - INFO - 
2021-09-18 22:51:15,414 - eat - INFO - 
2021-09-18 22:52:41,253 - eat - INFO - 
2021-09-18 22:53:07,491 - eat - INFO - 
2021-09-18 22:55:07,263 - eat - INFO - (sp mode) 第 420 号筛选条件(类别3), 条件范围(13:42:48~13:43:02), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:57:34,507 - eat - INFO - (sp mode) 第 583 号筛选条件(类别3), 条件范围(16:02:31~16:02:36), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:57:34,509 - eat - INFO - (sp mode) 第 585 号筛选条件(类别3), 条件范围(16:02:52~16:03:01), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:57:34,511 - eat - INFO - (sp mode) 第 587 号筛选条件(类别3), 条件范围(16:03:13~16:03:17), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:57:34,529 - eat - INFO - (sp mode) 第 596 号筛选条件(类别3), 条件范围(16:05:08~16:05:18), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:57:34,533 - eat - INFO - (sp mode) 第 598 号筛选条件(类别3), 条件范围(16:05:24~16:05:28), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:57:34,559 - eat - INFO - (sp mode) 第 611 号筛选条件(类别3), 条件范围(16:07:40~16:07:48), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:57:34,594 - eat - INFO - (sp mode) 第 631 号筛选条件(类别3), 条件范围(16:14:28~16:14:31), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:57:34,605 - eat - INFO - (sp mode) 第 637 号筛选条件(类别3), 条件范围(16:16:04~16:16:09), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:57:34,609 - eat - INFO - (sp mode) 第 639 号筛选条件(类别3), 条件范围(16:16:25~16:16:30), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:57:34,715 - eat - INFO - (sp mode) 第 697 号筛选条件(类别3), 条件范围(16:49:35~16:49:39), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:57:34,802 - eat - INFO - (sp mode) 第 750 号筛选条件(类别3), 条件范围(17:11:39~17:11:42), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:57:34,943 - eat - INFO - (sp mode) 第 831 号筛选条件(类别3), 条件范围(17:56:15~17:56:18), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:57:34,950 - eat - INFO - (sp mode) 第 835 号筛选条件(类别3), 条件范围(17:57:25~17:57:28), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:57:34,956 - eat - INFO - (sp mode) 第 842 号筛选条件(类别3), 条件范围(18:00:55~18:01:04), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:57:35,110 - eat - INFO - (sp mode) 第 974 号筛选条件(类别3), 条件范围(18:59:59~19:00:02), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:57:35,215 - eat - INFO - (sp mode) 第 1061 号筛选条件(类别3), 条件范围(19:30:10~19:30:12), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:57:35,237 - eat - INFO - (sp mode) 第 1080 号筛选条件(类别3), 条件范围(19:38:08~19:38:28), 耗时 0.0 秒, 筛选结果为 0 条数据
