2021-08-08 21:11:47,058 - log - INFO - 
2021-08-08 21:12:08,414 - log - INFO - (sp mode) 第 16 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,426 - log - INFO - (sp mode) 第 17 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,439 - log - INFO - (sp mode) 第 18 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,450 - log - INFO - (sp mode) 第 19 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,462 - log - INFO - (sp mode) 第 20 号筛选条件(类别3)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,473 - log - INFO - (sp mode) 第 21 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,484 - log - INFO - (sp mode) 第 22 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,495 - log - INFO - (sp mode) 第 23 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,506 - log - INFO - (sp mode) 第 24 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,517 - log - INFO - (sp mode) 第 25 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,528 - log - INFO - (sp mode) 第 26 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,540 - log - INFO - (sp mode) 第 27 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,551 - log - INFO - (sp mode) 第 28 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,562 - log - INFO - (sp mode) 第 29 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,573 - log - INFO - (sp mode) 第 30 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,584 - log - INFO - (sp mode) 第 31 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,595 - log - INFO - (sp mode) 第 32 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,608 - log - INFO - (sp mode) 第 36 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,619 - log - INFO - (sp mode) 第 37 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,630 - log - INFO - (sp mode) 第 38 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,641 - log - INFO - (sp mode) 第 39 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,656 - log - INFO - (sp mode) 第 40 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,667 - log - INFO - (sp mode) 第 41 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,678 - log - INFO - (sp mode) 第 42 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,689 - log - INFO - (sp mode) 第 44 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,701 - log - INFO - (sp mode) 第 45 号筛选条件(类别3)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,712 - log - INFO - (sp mode) 第 46 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,723 - log - INFO - (sp mode) 第 47 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,737 - log - INFO - (sp mode) 第 48 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,751 - log - INFO - (sp mode) 第 51 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,764 - log - INFO - (sp mode) 第 53 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,775 - log - INFO - (sp mode) 第 54 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,786 - log - INFO - (sp mode) 第 55 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,797 - log - INFO - (sp mode) 第 56 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,808 - log - INFO - (sp mode) 第 57 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,819 - log - INFO - (sp mode) 第 58 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,830 - log - INFO - (sp mode) 第 59 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,841 - log - INFO - (sp mode) 第 60 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,855 - log - INFO - (sp mode) 第 61 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,867 - log - INFO - (sp mode) 第 62 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,878 - log - INFO - (sp mode) 第 63 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,889 - log - INFO - (sp mode) 第 64 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,900 - log - INFO - (sp mode) 第 65 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,911 - log - INFO - (sp mode) 第 66 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,922 - log - INFO - (sp mode) 第 67 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,935 - log - INFO - (sp mode) 第 68 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,947 - log - INFO - (sp mode) 第 69 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,958 - log - INFO - (sp mode) 第 70 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,969 - log - INFO - (sp mode) 第 71 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,981 - log - INFO - (sp mode) 第 72 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,992 - log - INFO - (sp mode) 第 73 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,003 - log - INFO - (sp mode) 第 74 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,014 - log - INFO - (sp mode) 第 75 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,026 - log - INFO - (sp mode) 第 76 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,037 - log - INFO - (sp mode) 第 77 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,048 - log - INFO - (sp mode) 第 78 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,060 - log - INFO - (sp mode) 第 79 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,074 - log - INFO - (sp mode) 第 80 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,085 - log - INFO - (sp mode) 第 81 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,096 - log - INFO - (sp mode) 第 82 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,109 - log - INFO - (sp mode) 第 83 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,120 - log - INFO - (sp mode) 第 84 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,131 - log - INFO - (sp mode) 第 85 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,142 - log - INFO - (sp mode) 第 86 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,153 - log - INFO - (sp mode) 第 87 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,164 - log - INFO - (sp mode) 第 88 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,175 - log - INFO - (sp mode) 第 89 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,186 - log - INFO - (sp mode) 第 90 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,197 - log - INFO - (sp mode) 第 91 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,208 - log - INFO - (sp mode) 第 92 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,219 - log - INFO - (sp mode) 第 93 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,231 - log - INFO - (sp mode) 第 94 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,244 - log - INFO - (sp mode) 第 95 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,256 - log - INFO - (sp mode) 第 96 号筛选条件(类别3)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,268 - log - INFO - (sp mode) 第 97 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,279 - log - INFO - (sp mode) 第 98 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,291 - log - INFO - (sp mode) 第 99 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,302 - log - INFO - (sp mode) 第 100 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,313 - log - INFO - (sp mode) 第 101 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,325 - log - INFO - (sp mode) 第 103 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,336 - log - INFO - (sp mode) 第 104 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,347 - log - INFO - (sp mode) 第 105 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,358 - log - INFO - (sp mode) 第 106 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,369 - log - INFO - (sp mode) 第 107 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,380 - log - INFO - (sp mode) 第 108 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,391 - log - INFO - (sp mode) 第 109 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,402 - log - INFO - (sp mode) 第 110 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,413 - log - INFO - (sp mode) 第 111 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,424 - log - INFO - (sp mode) 第 112 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,435 - log - INFO - (sp mode) 第 113 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,448 - log - INFO - (sp mode) 第 114 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,459 - log - INFO - (sp mode) 第 115 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,471 - log - INFO - (sp mode) 第 116 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,484 - log - INFO - (sp mode) 第 117 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,495 - log - INFO - (sp mode) 第 118 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,506 - log - INFO - (sp mode) 第 119 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,517 - log - INFO - (sp mode) 第 120 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,528 - log - INFO - (sp mode) 第 121 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,539 - log - INFO - (sp mode) 第 122 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,550 - log - INFO - (sp mode) 第 123 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,561 - log - INFO - (sp mode) 第 124 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,572 - log - INFO - (sp mode) 第 125 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,584 - log - INFO - (sp mode) 第 126 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,595 - log - INFO - (sp mode) 第 127 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,606 - log - INFO - (sp mode) 第 128 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,617 - log - INFO - (sp mode) 第 129 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,629 - log - INFO - (sp mode) 第 130 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,641 - log - INFO - (sp mode) 第 131 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,653 - log - INFO - (sp mode) 第 132 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,664 - log - INFO - (sp mode) 第 133 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,676 - log - INFO - (sp mode) 第 134 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,689 - log - INFO - (sp mode) 第 135 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,700 - log - INFO - (sp mode) 第 136 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,711 - log - INFO - (sp mode) 第 137 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,722 - log - INFO - (sp mode) 第 138 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,734 - log - INFO - (sp mode) 第 139 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,748 - log - INFO - (sp mode) 第 140 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,759 - log - INFO - (sp mode) 第 141 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,771 - log - INFO - (sp mode) 第 142 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,782 - log - INFO - (sp mode) 第 143 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,793 - log - INFO - (sp mode) 第 145 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,805 - log - INFO - (sp mode) 第 147 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,816 - log - INFO - (sp mode) 第 148 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,827 - log - INFO - (sp mode) 第 149 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,838 - log - INFO - (sp mode) 第 150 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,849 - log - INFO - (sp mode) 第 151 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,860 - log - INFO - (sp mode) 第 152 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,871 - log - INFO - (sp mode) 第 153 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,882 - log - INFO - (sp mode) 第 154 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,894 - log - INFO - (sp mode) 第 155 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,905 - log - INFO - (sp mode) 第 156 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,916 - log - INFO - (sp mode) 第 157 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,927 - log - INFO - (sp mode) 第 158 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,938 - log - INFO - (sp mode) 第 159 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,949 - log - INFO - (sp mode) 第 160 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,960 - log - INFO - (sp mode) 第 161 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,971 - log - INFO - (sp mode) 第 162 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,982 - log - INFO - (sp mode) 第 163 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:09,993 - log - INFO - (sp mode) 第 164 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,004 - log - INFO - (sp mode) 第 165 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,015 - log - INFO - (sp mode) 第 166 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,026 - log - INFO - (sp mode) 第 167 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,037 - log - INFO - (sp mode) 第 168 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,050 - log - INFO - (sp mode) 第 169 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,062 - log - INFO - (sp mode) 第 170 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,072 - log - INFO - (sp mode) 第 171 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,084 - log - INFO - (sp mode) 第 172 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,097 - log - INFO - (sp mode) 第 173 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,108 - log - INFO - (sp mode) 第 174 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,119 - log - INFO - (sp mode) 第 175 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,130 - log - INFO - (sp mode) 第 176 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,141 - log - INFO - (sp mode) 第 177 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,153 - log - INFO - (sp mode) 第 178 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,164 - log - INFO - (sp mode) 第 179 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,175 - log - INFO - (sp mode) 第 180 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,186 - log - INFO - (sp mode) 第 181 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,197 - log - INFO - (sp mode) 第 182 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,208 - log - INFO - (sp mode) 第 183 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,219 - log - INFO - (sp mode) 第 184 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,230 - log - INFO - (sp mode) 第 185 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,242 - log - INFO - (sp mode) 第 186 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,254 - log - INFO - (sp mode) 第 187 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,265 - log - INFO - (sp mode) 第 188 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,276 - log - INFO - (sp mode) 第 189 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,287 - log - INFO - (sp mode) 第 190 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,298 - log - INFO - (sp mode) 第 191 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,312 - log - INFO - (sp mode) 第 192 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,323 - log - INFO - (sp mode) 第 193 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,334 - log - INFO - (sp mode) 第 194 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,345 - log - INFO - (sp mode) 第 195 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,356 - log - INFO - (sp mode) 第 196 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,367 - log - INFO - (sp mode) 第 197 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,379 - log - INFO - (sp mode) 第 198 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,390 - log - INFO - (sp mode) 第 199 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,402 - log - INFO - (sp mode) 第 200 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,413 - log - INFO - (sp mode) 第 201 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,424 - log - INFO - (sp mode) 第 202 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,435 - log - INFO - (sp mode) 第 203 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,446 - log - INFO - (sp mode) 第 204 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,458 - log - INFO - (sp mode) 第 205 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,469 - log - INFO - (sp mode) 第 206 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,480 - log - INFO - (sp mode) 第 207 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,491 - log - INFO - (sp mode) 第 208 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,502 - log - INFO - (sp mode) 第 209 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,514 - log - INFO - (sp mode) 第 210 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,525 - log - INFO - (sp mode) 第 211 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:10,536 - log - INFO - (sp mode) 第 212 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
